alpha,epsilon,tau_a,tau_b,translation
0.95,0.2,0.10865788295229827,0.9890188049771248,-37.348284348570196
0.5894791703147605,0.01107402724420737,1.0,0.8881963055026753,-320.74188657024746
0.08798354051102461,0.06194167381008996,1.0,0.8424289208179747,-314.00637233518336
0.0816750226208508,0.2,0.13269110657346178,0.9835601873249661,-199.2689644929493
0.95,0.18713114549717208,0.1004218490933083,0.9911844654342286,-38.88989437712712
0.690769471905975,0.03617066257485227,0.10905516080246602,0.9979813254714271,-303.6087258890173
0.01,0.1355488550701259,0.9497545719904791,0.6065254652657144,-305.55641028080385
0.5393561842750515,0.16888638773714387,0.10158350727570445,1.0,-114.35306028343082
0.6435734628146162,0.2,0.10852393067167045,0.9995435477129838,-85.04682621859972
0.09510336535122788,0.055040909249071124,0.9481988353364863,0.6074479529191302,-297.99324828990046
0.9436189903491852,0.2,0.10869933800399519,0.988043977029095,-37.58934158270511
0.95,0.2,0.10911430690879902,0.9892992790732316,-37.350570753836394
0.1234940919256886,0.0769015001193954,0.1361607148722978,0.9815415306621436,-286.11881598017135
0.95,0.2,0.10879089094163662,0.9875232794183895,-37.325162318234966
0.018651712285197748,0.05462885231855309,0.13215122438970217,0.9834130529830963,-309.66170361067674
0.95,0.2,0.10839555412501699,0.9864216306529322,-37.31052167922113
0.667496959675668,0.1783714014879553,0.9995498497811339,0.8830651573178419,-134.14567969012367
0.44603568517199055,0.09193464411483135,0.9995407104230856,0.8891382911766993,-284.39106307112235
0.95,0.06969361823454882,0.948157193243941,0.6079813164455776,-144.5710186654044
0.31764529972368527,0.1751435016992656,0.1422581861554724,0.9776068844807689,-137.9647498240002
0.9016393011987157,0.2,0.10904996570019515,0.9895577404870689,-39.951549179774354
0.95,0.2,0.10894478055208721,0.9892685108061211,-37.35023288419008
0.6686409644728059,0.05914439877518364,0.8869794204024662,0.7106978481442744,-173.8027127374622
0.95,0.2,0.10836293720654032,0.9870680578805887,-37.31949561175201
0.7703934012225259,0.1982061242780079,0.9995482742658091,0.841884436129388,-91.16723055460024
0.8484261173790412,1e-06,0.9995897225117959,0.8418465613143622,-1000000.0
0.2966617578738083,0.015099417979676396,1.0,0.8888567743887381,-321.2241955195483
0.43330682699376094,0.11023944926390107,0.9477278308192078,0.5928546954802574,-292.4113764719396
0.8420098759523693,0.07213092371609996,1.0,0.8425135302507206,-164.66477915333044
